s	scores
HG00155	[0.07992165765909363,-0.2436758615155738,0.030671292100607036,0.09260147941837386,-0.014137402189811972,-0.05189774751334559,0.031749610714626175,0.01008513935458257,-0.0024287641894833608,0.0021362963267025628,0.0026210116215126325,0.0069977782441068715,0.006361433258567171,-0.003393406497816357,0.0033090912196239984,-0.015919291713121383,-1.969473889604433E-4,0.013301563610143749,-0.002159249721069997,0.005051434992320754]
HG00157	[0.07627475848484516,-0.2500104806595569,0.02151339176833632,0.09696735314192809,-0.01577728371264249,-0.04535810734586975,0.029070634488628753,0.006507664919467914,0.005261169988869222,0.0028805577485197698,0.017718024262309607,-0.0034957669074594765,0.013446897411219957,-0.006383091014487429,-0.0038445338268997234,-0.006341960897170677,-5.370750339820596E-4,0.004871601675099171,-0.008037259670945632,-0.005064895657293139]
HG00158	[0.07039049904460067,-0.24186636986939639,0.022864172170394673,0.08448117856655761,-0.011510849498325745,-0.05082151204895644,0.03530592339733804,0.0038771695439304577,-0.007129164259020333,0.006675297980998276,0.01720045655490354,0.0013836281850365798,0.006635670465959323,-0.0016115846137131201,0.001998097441683725,-0.005827020860410449,0.011185607028034917,0.004007748507006328,-0.004451353217387719,-0.001964442939675208]
HG00159	[0.06831461728701159,-0.2473216928582169,0.024026363007611528,0.09469027209286009,-0.012088289146491103,-0.046553830085911116,0.028934687763161594,-4.48707083739437E-4,0.0021691773253410688,-1.5981036925566874E-4,0.018549318463646464,-0.0035936591735271526,-0.0014300604440618623,-0.015904454405250807,0.016747924983591067,0.0033752304792317453,-0.002624303845397036,0.01109148888488539,-0.002710746251622348,0.002367914135879544]
HG00160	[0.07333557176283624,-0.2500224781199061,0.0223803262770127,0.10105265849223637,-0.009251068423993293,-0.0536948128868635,0.03159546342466462,0.005365573917792952,-0.004699815663134641,-0.003948319376938544,0.015033430858883746,-9.088037387411414E-4,0.0023509865864508174,-0.002800040444306612,0.002481242469631772,0.0022516981317070826,0.020855353579137887,0.0037482757040344494,0.0029561556315952134,0.0014895787298696867]
HG00171	[0.09387982996080001,-0.20472787351230196,0.033630122860542455,0.07801450959599801,-0.018278344121748023,-0.14318176244178307,0.053744993529709836,0.0060651701457835735,-0.04046604175019648,0.006209465664834908,-0.049638794660883064,-0.07342813206351424,-0.004164364835666023,0.049121052568383554,-0.035474348063346844,-0.02268266873119716,0.004869735801124712,-0.04255315827549009,0.002828641023172533,0.0032240166167286297]
HG00173	[0.09297953700099097,-0.20742490756412346,0.0347327351492563,0.08249884023205267,-0.006023302724220366,-0.12075669022030379,0.05517096108828433,0.008593323183619108,-0.03611172728985763,0.001482959002884664,-0.056411590600856654,-0.07703446512094268,-0.009923158352125644,0.0504167282661747,-0.03937204194243852,-0.005196135348759863,0.002934875095107813,-0.023673774502029687,0.012606558621169862,0.017925813906019043]
HG00174	[0.0800303752979254,-0.22976339693692555,0.035357358392882565,0.0907521099696925,-0.002036317651782119,-0.10580980563174411,0.050254561716394995,0.0012450796982160647,-0.03287142407279801,0.004260253193265384,-0.03952436773878874,-0.0522572007645942,0.0014888076026058179,0.03699477308265744,-0.03582947211895282,-0.011945915631486536,0.001274872863654671,-0.014216764177734213,-8.441058943762257E-4,-3.844414967605224E-4]
HG00176	[0.08864014877529672,-0.20778779664191954,0.03296278430952697,0.08488148545429658,-0.015082682635197277,-0.1272290647737641,0.04741280943506038,-0.0019926122146716263,-0.030992019335883123,0.0048669072389072796,-0.04902853301128735,-0.0678880394382188,-0.002601159952756153,0.05659884304071072,-0.033073084555437136,-0.007395829337833122,0.002057617912215541,-0.031031865837145636,0.004552224005387257,0.013492513196862977]
HG00177	[0.0899036412589552,-0.19936781377271987,0.04015211700219871,0.078897092099124,-0.010688684711802005,-0.12377755196237071,0.03956920451542827,0.0011431595707006499,-0.03930232636309902,-0.005292604860451215,-0.05335778551992943,-0.0738357260281054,0.0019978611760712796,0.03598921538910419,-0.035095416931343104,-0.005326519437593401,0.0014515427591952122,-0.022826641207513626,0.009406563192615095,0.0010676749531501573]
HG00178	[0.08875488367338746,-0.21095658721487234,0.027230370525350066,0.07628781702687167,-0.015708254979303355,-0.1256587483108123,0.04616322955771822,0.004039885018692841,-0.02998672801719133,-0.005176831713230354,-0.05103512614281834,-0.05730640439642384,2.2515238118420757E-4,0.04297864970554402,-0.02916062935210413,-0.011664399119590455,-0.006717752392556644,-0.024642744815444522,-0.012491781987913893,0.007758277650912507]
HG00179	[0.09087430945511804,-0.2038405388977671,0.03487037675543762,0.08243709141635853,-0.007040752420036253,-0.12391417183343001,0.052923786656576585,0.005084049527187808,-0.03132384673928051,-0.009176975037479877,-0.05342166566472056,-0.052555545071404385,-9.459969250210832E-4,0.044288157941675774,-0.02848727189034127,-0.013911678222186752,0.0037809948969444018,-0.02135970658327924,-9.75347240917318E-5,0.004886302411266672]
HG00180	[0.08765137920551762,-0.20762967849101127,0.03075727642316258,0.08513513165003335,-0.006779747571199361,-0.12053839450897316,0.04308578783134463,0.004319449021094662,-0.034481480088378945,0.003468320266576019,-0.046561028205823966,-0.05742427717819569,-0.00888857574004263,0.038508791249488014,-0.032764855522773376,-0.011826672113058264,0.007390020832231513,-0.01065069467648339,-0.0030755734868683506,0.0066213438819315365]
HG00181	[0.07742743649123271,-0.2140066344607203,0.022770162607406764,0.08200383755956281,-0.006126408226499704,-0.07314945110551725,0.014183110442299906,0.0054372362568924654,-0.03218498641801437,0.004214365783695765,-0.037075367693566647,-0.05176179967366797,-0.006068463521865498,0.02348152223415629,-0.025532606131175892,0.00571183885715885,0.0018371511544496703,-0.01443505231444548,0.009247969181416972,0.016738730141366]
HG00182	[0.0837226916857629,-0.19537091143345747,0.037516966710211076,0.08196548997053806,-0.002423112831670033,-0.12212445696375991,0.04184755874706576,0.004362492329749675,-0.040393723173710455,-0.001170146947555003,-0.06001246600017735,-0.0708711003858874,-0.006395005472651364,0.041864158316765473,-0.04434759121764224,-0.015369819849052823,-0.007063850895461607,-0.02821813212504339,0.004772710704157888,0.006593552879140134]
HG00183	[0.09571516192654286,-0.21200705439889683,0.02710935223319905,0.07760455573236721,-0.015281335181377038,-0.1313084259828972,0.04760283690195256,-0.003127633675881672,-0.03754183341286924,-0.00295075334259209,-0.05228481343574934,-0.0704765118402573,-0.01043459984442661,0.0476864374638804,-0.032952534956379086,-0.00798187988284539,0.003473268767534179,-0.030612225049918305,0.0024144703300322356,0.006907444720958593]
HG00185	[0.09536695142783044,-0.20046084965152436,0.02602320932856183,0.08428582081035127,-0.011497787572777737,-0.13598977732857562,0.05360404021660558,-0.0017743314340924407,-0.043303336031070214,0.004220465288325161,-0.056091595910327925,-0.07106338861627692,-0.0013694308414889192,0.046506643930536745,-0.025197385552053333,-0.012580777867483328,0.00514101612894797,-0.03488066676851864,-0.0018687738201178725,0.002647766929768489]
